STATEFP,COUNTYFP,TRACTCE,GEOID,NAME,NAMELSAD,MTFCC,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEOID_d,GEOID_1,city,houses,owner_occ,white_hou,black_hou,asian_hou,rent_occ,white_occ,black_occ,asian_occ,under_10,over_65,white,black,native_amr,asian,hispanic,pov_div,pov_t,white_pov,black_pov,native_pov,asian_pov,hispanic_pov,pop_25,no_hs,no_college,bach_degree,graduate_degree,white_no_hs,white_no_college,black_no_hs,black_no_college,nat_no_hs,nat_no_college,asian_no_hs,asian_no_college,hispanic_no_hs,hispanic_no_college,pop,perc_rent,perc_occ,housing_price,rent,rent_1br,under_10_p,over_65_p,median_age,white_p,black_p,native_amr_p,asian_p,hispanic_p,pov_p,no_hs_p,no_college_p,bach_degree_p,graduate_degree_p,white_no_hs_p,white_no_college_p,black_no_hs_p,black_no_college_p,nat_no_hs_p,nat_no_college_p,asian_no_hs_p,asian_no_college_p,hispanic_no_hs_p,hispanic_no_college_p,med_hou_inc,white_inc,black_inc,native_income,asian_inc,hispanic_inc,white_pov_p,black_pov_p,native_pov_p,asian_pov_p,hispanic_pov_p,white_hou_to_rent,black_hou_to_rent,asian_hou_to_rent,white_to_black_ratio,white_to_asian_ratio,pop_dens2020,inc_change,GEOID_12,ALAND_1,AWATER_1,INTPTLAT_1,INTPTLON_1,city_1,pop_1,perc_rent_1,perc_occ_1,housing_price_1,rent_1,rent_1br_1,under_10_p_1,over_65_p_1,median_age_1,white_p_1,black_p_1,native_amr_p_1,asian_p_1,hispanic_p_1,pov_p_1,no_hs_p_1,no_college_p_1,bach_degree_p_1,graduate_degree_p_1,med_hou_inc_1,km,pop_dens,res_tree,res_grass,street_tree,park_tree,park_grass,other_tree,other_grass,Shape_Area_1,land_area,res_treey,res_grassy,street_treey,park_treey,park_grassy,other_treey,other_grassy,total_treey,total_grassy,totally,median_year_built,OBJECTID,Join_Count,TARGET_FID,area_id,city_12,state,city_survey,category,grade,label,residential,commercial,industrial,fill,Shape_Length_1,Shape_Area_12,Shape_Length,Shape_Area
25,025,140202,25025140202,1402.02,Census Tract 1402.02,G5020,S,1538599.000000000000000,17120.000000000000000,+42.2495181,-071.1175430,25025140202.000000000000000,25025140202.000000000000000,Boston,2115,1269,685,351,36,846,239,315,35,679,992,3060,1907,0,313,2553,6412,700,240,274,0,0,503,4828,593,1246,998,510,172,1384,98,1110,0,0,22,224,412,1247,6678,0.400000000000000,0.600000000000000,493800,1201,,0.101677149000000,0.148547469000000,39.600000000000001,0.458221024000000,0.285564540000000,0.000000000000000,0.046870320000000,0.382300090000000,0.109170306000000,0.122825186000000,0.258077879000000,0.206710853000000,0.105633803000000,0.056209150000000,0.452287582000000,0.051389617000000,0.582066072000000,,,0.070287540000000,0.715654952000000,0.161378770000000,0.488444967000000,86553,100455,105147,,59432,70729,0.037429819000000,0.042732377000000,0.000000000000000,0.000000000000000,0.078446663000000,2.866108787000000,1.114285714000000,1.028571429000000,2.572148911000000,2.786494654000000,4337.554795164525785,41668.000000000000000,25025140202,1538599,17120,42.249518100000003,-71.117542999999998,Boston,6678,0.400000000000000,0.600000000000000,493800,1201,,0.101677149000000,0.148547469000000,39.600000000000001,0.458221024000000,0.285564540000000,0.000000000000000,0.046870320000000,0.382300090000000,0.109170306000000,0.122825186000000,0.258077879000000,0.206710853000000,0.105633803000000,86553,1.538599000000000,4340.312192999999752,623676.026799999992363,318882.592899999988731,71177.583429999998771,29582.903089999999793,8104.178692000000410,3701.503157999999985,507.771262400000012,1539577.049000000115484,1538599,0.405353199000000,0.207255167000000,0.046261296000000,0.019227169000000,0.005267246000000,0.002405762000000,0.000330022000000,0.473247426000000,0.212852434000000,0.686099861000000,1948,1,1,1,4930,Boston,MA,1,Definitely Declining,C,C17,1,0,0,#ffff00,5705.080116712288145,1539577.092477214522660,5705.080116712288145,1539577.092477214522660
25,025,140300,25025140300,1403,Census Tract 1403,G5020,S,1548879.000000000000000,38736.000000000000000,+42.2587734,-071.1188131,25025140300.000000000000000,25025140300.000000000000000,Boston,2517,1092,268,571,29,1425,255,770,8,637,1216,2006,4228,0,78,1973,7461,1240,46,855,0,78,306,5678,666,1523,1341,314,42,1319,481,2156,0,0,0,78,143,1073,7517,0.566150179000000,0.433849821000000,425900,1624,1107,0.084741253000000,0.161766662000000,39.200000000000003,0.266861780000000,0.562458428000000,0.000000000000000,0.010376480000000,0.262471731000000,0.166197561000000,0.117294822000000,0.268228249000000,0.236174709000000,0.055301162000000,0.020937188000000,0.657527418000000,0.113765374000000,0.509933775000000,,,0.000000000000000,1.000000000000000,0.072478459000000,0.543841865000000,68472,89148,52679,,,76696,0.006165393000000,0.114595899000000,0.000000000000000,0.010454363000000,0.041013269000000,1.050980392000000,0.741558442000000,3.625000000000000,1.417259023000000,0.289925625000000,4821.563719755252350,24772.000000000000000,25025140300,1548879,38736,42.258773400000003,-71.118813099999997,Boston,7517,0.566150179000000,0.433849821000000,425900,1624,1107,0.084741253000000,0.161766662000000,39.200000000000003,0.266861780000000,0.562458428000000,0.000000000000000,0.010376480000000,0.262471731000000,0.166197561000000,0.117294822000000,0.268228249000000,0.236174709000000,0.055301162000000,68472,1.548879000000000,4853.187369999999646,350112.765699999989010,173227.659600000013597,33984.831899999997404,59501.831279999998515,54562.262309999998251,39416.490960000002815,26392.158080000001064,1559037.777999999932945,1548879,0.226042684000000,0.111840666000000,0.021941567000000,0.038416062000000,0.035226937000000,0.025448399000000,0.017039522000000,0.311848711000000,0.164107125000000,0.475955836000000,1939,2,1,2,4930,Boston,MA,1,Definitely Declining,C,C17,1,0,0,#ffff00,8771.570338915207685,1559037.780461308779195,8771.570338915207685,1559037.780461308779195
25,025,140400,25025140400,1404,Census Tract 1404,G5020,S,1874512.000000000000000,11680.000000000000000,+42.2692219,-071.1118088,25025140400.000000000000000,25025140400.000000000000000,Boston,2831,1756,218,1200,34,1075,87,690,8,1258,1529,1445,6068,26,38,2846,9520,1480,196,1141,0,16,444,6904,1372,1812,972,872,222,801,950,3257,0,26,0,16,277,1325,9621,0.379724479000000,0.620275521000000,394600,1617,1386,0.130755639000000,0.158923189000000,39.299999999999997,0.150192288000000,0.630703669000000,0.007082539000000,0.003949693000000,0.295811246000000,0.155462185000000,0.198725377000000,0.262456547000000,0.140787949000000,0.126303592000000,0.153633218000000,0.554325260000000,0.156558998000000,0.536750165000000,0.000000000000000,1.000000000000000,0.000000000000000,0.421052632000000,0.097329585000000,0.465565706000000,62910,56911,55513,,,71186,0.020588235000000,0.119852941000000,0.000000000000000,0.001680672000000,0.046638655000000,2.505747126000000,1.739130435000000,4.250000000000000,1.440804598000000,0.589587559000000,5128.686938064318383,20210.000000000000000,25025140400,1874512,11680,42.269221899999998,-71.111808800000006,Boston,9621,0.379724479000000,0.620275521000000,394600,1617,1386,0.130755639000000,0.158923189000000,39.299999999999997,0.150192288000000,0.630703669000000,0.007082539000000,0.003949693000000,0.295811246000000,0.155462185000000,0.198725377000000,0.262456547000000,0.140787949000000,0.126303592000000,62910,1.874512000000000,5132.535828000000038,536883.730300000053830,256502.146600000007311,53396.628570000000764,15106.941779999999198,490.596646099999987,102385.354600000006030,99295.417079999999260,1875918.752000000094995,1874512,0.286412533000000,0.136836759000000,0.028485616000000,0.008059133000000,0.000261720000000,0.054619738000000,0.052971342000000,0.377577020000000,0.190069821000000,0.567646841000000,1954,3,1,3,4928,Boston,MA,1,Still Desirable,B,B7,1,0,0,#7cb5bd,8368.318435492641584,1875918.751950802747160,8368.318435492641584,1875918.751950802747160
25,025,140106,25025140106,1401.06,Census Tract 1401.06,G5020,S,278837.000000000000000,3116.000000000000000,+42.2738738,-071.1371416,25025140106.000000000000000,25025140106.000000000000000,Boston,922,79,42,18,2,843,171,404,37,270,303,829,1249,0,71,662,2329,540,201,278,0,2,252,1557,273,480,185,149,80,397,111,709,0,0,0,0,141,359,2329,0.914316703000000,0.085683297000000,544800,1445,477,0.115929584000000,0.130098755000000,35.000000000000000,0.355946758000000,0.536281666000000,0.000000000000000,0.030485187000000,0.284242164000000,0.231859167000000,0.175337187000000,0.308285164000000,0.118818240000000,0.095696853000000,0.096501809000000,0.478890229000000,0.088871097000000,0.567654123000000,,,0.000000000000000,0.000000000000000,0.212990937000000,0.542296073000000,38939,,38826,,91125,,0.086303134000000,0.119364534000000,0.000000000000000,0.000858738000000,0.108200945000000,0.245614035000000,0.044554455000000,0.054054054000000,5.512670565000000,4.543859649000000,8252.424499001546792,-7351.000000000000000,25025140106,278837,3116,42.273873799999997,-71.137141600000007,Boston,2329,0.914316703000000,0.085683297000000,544800,1445,477,0.115929584000000,0.130098755000000,35.000000000000000,0.355946758000000,0.536281666000000,0.000000000000000,0.030485187000000,0.284242164000000,0.231859167000000,0.175337187000000,0.308285164000000,0.118818240000000,0.095696853000000,38939,0.278837000000000,8352.550056000000041,103333.692100000000210,40943.538359999998647,1388.157024999999976,7658.385392999999567,164.278937799999994,2458.210288000000219,831.848803399999952,282220.091799999994691,278837,0.370588165000000,0.146836820000000,0.004978382000000,0.027465456000000,0.000589158000000,0.008815940000000,0.002983280000000,0.411847943000000,0.150409257000000,0.562257200000000,1989,4,1,4,4945,Boston,MA,1,Definitely Declining,C,C14,1,0,0,#ffff00,2293.688367901460424,282220.091838681313675,2293.688367901460424,282220.091838681313675
25,025,110201,25025110201,1102.01,Census Tract 1102.01,G5020,S,348208.000000000000000,0.000000000000000,+42.2804960,-071.1170508,25025110201.000000000000000,25025110201.000000000000000,Boston,809,289,93,105,13,520,106,185,7,416,257,651,1490,0,51,951,2694,335,123,160,0,3,162,1742,328,466,266,177,102,367,118,569,0,0,0,24,203,572,2694,0.642768850000000,0.357231150000000,429400,1150,645,0.154417223000000,0.095397179000000,35.799999999999997,0.241648107000000,0.553080921000000,0.000000000000000,0.018930958000000,0.353006682000000,0.124350408000000,0.188289323000000,0.267508611000000,0.152698048000000,0.101607348000000,0.156682028000000,0.563748080000000,0.079194631000000,0.381879195000000,,,0.000000000000000,0.470588235000000,0.213459516000000,0.601472135000000,55240,40167,59271,,,50000,0.045657016000000,0.059391240000000,0.000000000000000,0.001113586000000,0.060133630000000,0.877358491000000,0.567567568000000,1.857142857000000,1.545822102000000,0.472423803000000,7729.379981263359696,11870.000000000000000,25025110201,348208,0,42.280495999999999,-71.117050800000001,Boston,2694,0.642768850000000,0.357231150000000,429400,1150,645,0.154417223000000,0.095397179000000,35.799999999999997,0.241648107000000,0.553080921000000,0.000000000000000,0.018930958000000,0.353006682000000,0.124350408000000,0.188289323000000,0.267508611000000,0.152698048000000,0.101607348000000,55240,0.348208000000000,7736.755043000000114,100063.794500000003609,44123.082529999999679,14208.634679999999207,3548.425056999999924,2665.799127000000226,3753.027007000000140,554.814776400000028,348540.245999999984633,348208,0.287367879000000,0.126714730000000,0.040805021000000,0.010190533000000,0.007655766000000,0.010778118000000,0.001593343000000,0.349141551000000,0.135963839000000,0.485105390000000,1962,5,1,5,4945,Boston,MA,1,Definitely Declining,C,C14,1,0,0,#ffff00,3134.002601728207082,348540.245987449598033,3134.002601728207082,348540.245987449598033
25,025,170800,25025170800,1708,Census Tract 1708,G5020,S,861864.000000000000000,484294.000000000000000,+42.3972020,-070.9867637,25025170800.000000000000000,25025170800.000000000000000,Boston,2192,890,618,21,35,1302,692,57,26,770,793,4625,222,100,204,2604,6026,1190,903,0,0,31,505,4344,805,1580,529,327,565,2747,0,67,31,31,15,127,423,1468,6074,0.593978102000000,0.406021898000000,368900,1219,888,0.126769839000000,0.130556470000000,40.200000000000003,0.761442213000000,0.036549226000000,0.019755038000000,0.033585775000000,0.428712545000000,0.197477597000000,0.185313076000000,0.363720074000000,0.121777164000000,0.075276243000000,0.122162162000000,0.593945946000000,0.000000000000000,0.301801802000000,0.310000000000000,0.310000000000000,0.073529412000000,0.622549020000000,0.162442396000000,0.563748080000000,54299,54410,,,48105,,0.149850647000000,0.000000000000000,0.000000000000000,0.005144374000000,0.083803518000000,0.893063584000000,0.368421053000000,1.346153846000000,2.424029727000000,0.663418662000000,30672171.885871771723032,14299.000000000000000,25025170800,861864,484294,42.397202000000000,-70.986763699999997,Boston,6074,0.593978102000000,0.406021898000000,368900,1219,888,0.126769839000000,0.130556470000000,40.200000000000003,0.761442213000000,0.036549226000000,0.019755038000000,0.033585775000000,0.428712545000000,0.197477597000000,0.185313076000000,0.363720074000000,0.121777164000000,0.075276243000000,54299,0.861864000000000,7047.515617000000020,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,96.327195360000005,20.908228449999999,198.030061100000012,861864,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000111766000000,0.000024300000000,0.000111766000000,0.000024300000000,0.000136025000000,1942,6,0,6,,Boston,,,,,,,,,,212.395725261491094,198.029667497977471,212.395725261491094,198.029667497977471
25,025,080601,25025080601,806.01,Census Tract 806.01,G5020,S,561665.000000000000000,0.000000000000000,+42.3333769,-071.0880443,25025080601.000000000000000,25025080601.000000000000000,Boston,1005,119,30,42,32,886,250,292,136,214,290,1659,807,37,986,630,1911,923,109,281,0,284,242,1221,523,258,192,56,78,118,197,421,18,37,146,256,178,238,3908,0.881592040000000,0.118407960000000,418400,588,323,0.054759468000000,0.074206755000000,20.800000000000001,0.424513818000000,0.206499488000000,0.007613169000000,0.252302968000000,0.161207779000000,0.482993197000000,0.428337428000000,0.211302211000000,0.157248157000000,0.045864046000000,0.047016275000000,0.071127185000000,0.244114002000000,0.521685254000000,0.486486486000000,1.000000000000000,0.148073022000000,0.259634888000000,0.282539683000000,0.377777778000000,14255,18625,,,,12396,0.057038200000000,0.147043433000000,0.000000000000000,0.148613291000000,0.126635269000000,0.120000000000000,0.143835616000000,0.235294118000000,0.834285714000000,0.510000000000000,6950.920527882449278,-11099.000000000000000,25025080601,561665,0,42.333376899999998,-71.088044300000007,Boston,3908,0.881592040000000,0.118407960000000,418400,588,323,0.054759468000000,0.074206755000000,20.800000000000001,0.424513818000000,0.206499488000000,0.007613169000000,0.252302968000000,0.161207779000000,0.482993197000000,0.428337428000000,0.211302211000000,0.157248157000000,0.045864046000000,14255,0.561665000000000,6957.884148000000096,17236.594189999999799,6966.920409000000291,10716.960530000000290,18252.883440000001428,52469.946020000003045,36021.890729999999166,44047.663569999996980,562227.691200000001118,561665,0.030688389000000,0.012404049000000,0.019080699000000,0.032497812000000,0.093418579000000,0.064134120000000,0.078423373000000,0.146401020000000,0.184246001000000,0.330647021000000,1965,7,1,7,4920,Boston,MA,1,Hazardous,D,D8,1,0,0,#d9838d,5138.488939129819300,562227.691184745286591,5138.488939129819300,562227.691184745286591
25,025,020200,25025020200,202,Census Tract 202,G5020,S,108297.000000000000000,0.000000000000000,+42.3602609,-071.0685049,25025020200.000000000000000,25025020200.000000000000000,Boston,2339,431,374,7,27,1908,1434,100,190,149,337,3050,44,0,238,164,3402,278,166,19,0,76,17,2941,48,42,1438,1162,30,275,0,31,0,0,18,18,0,86,3402,0.815733219000000,0.184266781000000,657700,2091,2155,0.043797766000000,0.099059377000000,31.500000000000000,0.896531452000000,0.012933568000000,0.000000000000000,0.069958848000000,0.048206937000000,0.081716637000000,0.016320979000000,0.014280857000000,0.488949337000000,0.395103706000000,0.009836066000000,0.090163934000000,0.000000000000000,0.704545455000000,,,0.075630252000000,0.075630252000000,0.000000000000000,0.524390244000000,103750,106435,,,74227,70850,0.048794827000000,0.005584950000000,0.000000000000000,0.022339800000000,0.004997061000000,0.260808926000000,0.070000000000000,0.142105263000000,3.725841801000000,1.835322072000000,31381.301260908428958,41272.000000000000000,25025020200,108297,0,42.360260900000000,-71.068504899999994,Boston,3402,0.815733219000000,0.184266781000000,657700,2091,2155,0.043797766000000,0.099059377000000,31.500000000000000,0.896531452000000,0.012933568000000,0.000000000000000,0.069958848000000,0.048206937000000,0.081716637000000,0.016320979000000,0.014280857000000,0.488949337000000,0.395103706000000,103750,0.108297000000000,31413.612570000001142,10806.567220000000816,4062.916820999999800,4501.242895999999746,409.950622099999975,8.960669336000000,943.110447600000043,305.409479900000008,108408.506399999998393,108297,0.099786395000000,0.037516430000000,0.041563874000000,0.003785429000000,0.000082700000000,0.008708556000000,0.002820110000000,0.153844254000000,0.040419282000000,0.194263536000000,1939,8,1,8,4951,Boston,MA,1,Hazardous,D,D6,1,0,0,#d9838d,1621.750451068317489,108408.506445137725677,1621.750451068317489,108408.506445137725677
25,025,030200,25025030200,302,Census Tract 302,G5020,S,58261.000000000000000,0.000000000000000,+42.3646862,-071.0570125,25025030200.000000000000000,25025030200.000000000000000,Boston,1088,155,141,0,6,933,835,8,34,43,82,1500,30,0,101,90,1706,45,25,0,0,20,16,1545,16,103,878,431,16,197,0,0,0,0,0,0,0,47,1706,0.857536765000000,0.142463235000000,629900,2071,2116,0.025205158000000,0.048065651000000,30.000000000000000,0.879249707000000,0.017584994000000,0.000000000000000,0.059202814000000,0.052754982000000,0.026377491000000,0.010355987000000,0.066666667000000,0.568284790000000,0.278964401000000,0.010666667000000,0.131333333000000,0.000000000000000,0.000000000000000,,,0.000000000000000,0.000000000000000,0.000000000000000,0.522222222000000,99550,98100,,,,130513,0.014654162000000,0.000000000000000,0.000000000000000,0.011723329000000,0.009378664000000,0.168862275000000,0.000000000000000,0.176470588000000,,0.956886228000000,29251.820808302767546,50928.000000000000000,25025030200,58261,0,42.364686200000001,-71.057012499999999,Boston,1706,0.857536765000000,0.142463235000000,629900,2071,2116,0.025205158000000,0.048065651000000,30.000000000000000,0.879249707000000,0.017584994000000,0.000000000000000,0.059202814000000,0.052754982000000,0.026377491000000,0.010355987000000,0.066666667000000,0.568284790000000,0.278964401000000,99550,0.058261000000000,29282.024000000001251,386.055503900000019,1255.987151999999924,463.714638100000002,1031.223696000000018,88.859970919999995,204.601949800000000,284.501251400000001,58321.155839999999444,58261,0.006626311000000,0.021557940000000,0.007959263000000,0.017700069000000,0.001525205000000,0.003511817000000,0.004883220000000,0.035797459000000,0.027966365000000,0.063763824000000,1939,9,1,9,4991,Boston,MA,1,Hazardous,D,D5,1,0,0,#d9838d,1201.884823604862731,58321.155841204010358,1201.884823604862731,58321.155841204010358
25,025,030400,25025030400,304,Census Tract 304,G5020,S,165170.000000000000000,0.000000000000000,+42.3637112,-071.0536706,25025030400.000000000000000,25025030400.000000000000000,Boston,2421,578,528,1,19,1843,1571,46,90,188,558,3644,239,0,43,130,3905,357,322,31,0,0,44,3472,80,205,1918,822,69,691,11,41,0,0,0,0,0,0,3992,0.761255679000000,0.238744321000000,685500,2180,1796,0.047094188000000,0.139779559000000,32.799999999999997,0.912825651000000,0.059869739000000,0.000000000000000,0.010771543000000,0.032565130000000,0.091421255000000,0.023041475000000,0.059043779000000,0.552419355000000,0.236751152000000,0.018935236000000,0.189626784000000,0.046025105000000,0.171548117000000,,,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,94886,103472,,,,,0.082458387000000,0.007938540000000,0.000000000000000,0.000000000000000,0.011267606000000,0.336091661000000,0.021739130000000,0.211111111000000,15.460216420000000,1.592013133000000,24143.287222461225610,38844.000000000000000,25025030400,165170,0,42.363711199999997,-71.053670600000004,Boston,3992,0.761255679000000,0.238744321000000,685500,2180,1796,0.047094188000000,0.139779559000000,32.799999999999997,0.912825651000000,0.059869739000000,0.000000000000000,0.010771543000000,0.032565130000000,0.091421255000000,0.023041475000000,0.059043779000000,0.552419355000000,0.236751152000000,94886,0.165170000000000,24169.037960000001476,6456.162256999999954,3095.911255999999867,5278.580960999999661,3404.307624999999916,247.165129199999996,1017.782691999999997,849.023419600000011,165346.166999999986729,165170,0.039087984000000,0.018743787000000,0.031958473000000,0.020610932000000,0.001496429000000,0.006162031000000,0.005140300000000,0.097819420000000,0.025380516000000,0.123199935000000,1939,10,1,10,4991,Boston,MA,1,Hazardous,D,D5,1,0,0,#d9838d,1887.343734728935942,165346.166957999084843,1887.343734728935942,165346.166957999084843
