STATEFP,COUNTYFP,TRACTCE,GEOID,med_hou_inc_1,pop_dens,grade,label,res_treey,res_grassy,street_treey,park_treey,park_grassy,other_treey,other_grassy,total_treey,total_grassy,totally,GEOID_d_1
42,101,12204,42101012204,56495,4403.843727,,,0.060841257,0.06677515,0.019298316,0.011464981,0.010065128,0.070999614,0.208158785,0.162604168,0.284999063,0.447603231,42101012204
42,101,12203,42101012203,52209,3473.930152,,,0.09352131,0.05458777,0.016000575,0.036687797,0.000896098,0.062729619,0.05418645,0.208939301,0.109670318,0.318609619,42101012203
42,101,13602,42101013602,92212,16332.2691,D,D13,0.047877239,0.028036587,0.060315685,0.015831441,0.003344813,0.007818089,0.00227214,0.131842454,0.03365354,0.165495994,42101013602
42,101,34502,42101034502,47714,5311.558586,,,0.125524114,0.115035083,0.041252283,0.008832643,0.000287908,0.047643836,0.039906468,0.223252876,0.155229458,0.378482334,42101034502
42,101,902,42101000902,61312,17813.06592,D,D17,0.025318976,0.008482684,0.045422494,0,0,0.025080993,0.012738144,0.095822464,0.021220828,0.117043291,42101000902
42,101,1201,42101001201,106902,12471.18804,D,D18,0.041951026,0.028508736,0.087391124,0.039883569,0.029595966,0.014749258,0.006196638,0.183974978,0.06430134,0.248276318,42101001201
42,101,2702,42101002702,76060,11695.11117,D,D17,0.011383101,0.017625337,0.023571378,0.011345651,0.027367447,0.004585924,0.007704489,0.050886055,0.052697273,0.103583328,42101002702
42,101,28100,42101028100,52995,9409.362892,B,B14,0.073291371,0.034297105,0.04943392,0.09146599,0.015205178,0.042315466,0.015192749,0.256506746,0.064695032,0.321201778,42101028100
42,101,35302,42101035302,54219,3048.762179,,,0.057299792,0.124521731,0.015548929,0.145937163,0.193711978,0.034024636,0.031468716,0.25281052,0.349702426,0.602512945,42101035302
42,101,2000,42101002000,49282,6487.79832,D,D18,0.039397791,0.021677416,0.015411743,0.001454223,0.000919138,0.026818978,0.027738116,0.083082735,0.05033467,0.133417405,42101002000
42,101,14300,42101014300,99020,3539.646316,,Industrial and Commercial ,0.016559088,0.0127838,0.016703785,0.012331073,0.003434372,0.029223403,0.026994843,0.074817349,0.043213015,0.118030365,42101014300
42,101,1101,42101001101,60371,23400.81949,D,D17,0.051391124,0.017538012,0.071849741,0.007823047,0.001463899,0.008182727,0.004596714,0.139246639,0.023598626,0.162845265,42101001101
42,101,27402,42101027402,53889,15134.15207,A,A6,0.106939686,0.047137083,0.035732239,0,0,0.019667786,0.009306979,0.162339711,0.056444062,0.218783772,42101027402
42,101,36502,42101036502,82963,2504.693777,,,0.157642864,0.190298726,0.020338953,0.059404071,0.028350884,0.061757166,0.096087206,0.299143053,0.314736816,0.61387987,42101036502
42,101,401,42101000401,73438,11884.4483,,Industrial and Commercial ,0.002141716,0.001145905,0.013661377,0.003180824,0.001203633,0.023760925,0.023423215,0.042744842,0.025772753,0.068517595,42101000401
42,101,34501,42101034501,49176,10843.20925,,,0.183693746,0.159614801,0.044280641,0.027056817,0.0000364,0.019580665,0.011968837,0.274611869,0.171620005,0.446231874,42101034501
42,101,901,42101000901,46786,18727.90515,D,D17,0.010558826,0.003078669,0.023039596,0,0,0.007355587,0.005522622,0.040954009,0.008601291,0.0495553,42101000901
42,101,17702,42101017702,25417,9616.622757,D,D11,0.035386687,0.013384821,0.01845322,0.000794416,0.004784405,0.030466682,0.037781448,0.085101004,0.055950674,0.141051678,42101017702
42,101,1203,42101001203,95900,17839.3579,C,C16,0.024555229,0.019580625,0.05216611,0,0,0.010169214,0.010236438,0.086890553,0.029817063,0.116707616,42101001203
42,101,1302,42101001302,104797,9360.98232,,,0.04622482,0.021429372,0.021348451,0.005717272,0.004928295,0.005981388,0.00887655,0.079271931,0.035234217,0.114506148,42101001302
42,101,13701,42101013701,81300,5664.094255,D,D13,0.018494433,0.00952765,0.015611999,0.004699929,0.010720381,0.075241459,0.051495696,0.11404782,0.071743727,0.185791547,42101013701
42,101,1301,42101001301,150903,9818.660152,D,D18,0.031318424,0.020619218,0.018564647,0.000191123,0.002429466,0.013158075,0.025750132,0.063232269,0.048798817,0.112031086,42101001301
42,101,702,42101000702,49833,19907.52512,,Industrial and Commercial ,0.005911621,0.001408652,0.025202485,0.022662197,0.010102212,0.017858636,0.009937182,0.07163494,0.021448046,0.093082985,42101000702
42,101,38301,42101038301,,3641.791045,,,0.009961821,0.006505035,0.012254443,0,0,0.027000793,0.042119145,0.049217056,0.04862418,0.097841236,42101038301
42,101,14600,42101014600,39167,9455.159893,D,D14,0.042535787,0.056050596,0.017971461,0.001288196,0.013032439,0.023526456,0.049251002,0.0853219,0.118334036,0.203655937,42101014600
42,101,36201,42101036201,62794,5034.270835,,,0.040083021,0.106607843,0.013063206,0.142086778,0.03963177,0.034079696,0.133431145,0.2293127,0.279670759,0.508983459,42101036201
42,101,36202,42101036202,77740,5595.492414,,,0.138326859,0.213465637,0.018241584,0.002284242,0.008256185,0.011408723,0.015138421,0.170261407,0.236860243,0.40712165,42101036202
42,101,27700,42101027700,30123,9086.289369,B,B14,0.121610994,0.046616914,0.047755458,0.018207481,0.01565152,0.03357667,0.013221167,0.221150603,0.0754896,0.296640203,42101027700
42,101,27800,42101027800,43352,6169.765803,B,B14,0.054203331,0.028402663,0.044657792,0.030123225,0.010896608,0.072446646,0.073086354,0.201430994,0.112385625,0.313816619,42101027800
42,101,28000,42101028000,31611,5752.09474,B,B14,0.053129948,0.01901226,0.033786601,0.035417642,0.03786159,0.070769067,0.052868564,0.193103259,0.109742414,0.302845673,42101028000
42,101,27600,42101027600,39727,6597.509429,B,B14,0.111611909,0.026857836,0.038882782,0,0,0.062518514,0.025706541,0.213013205,0.052564377,0.265577582,42101027600
42,101,28200,42101028200,30395,5239.627664,B,B14,0.072973865,0.022007933,0.045855224,0.013179747,0.03670963,0.082095324,0.0323215,0.21410416,0.091039063,0.305143223,42101028200
42,101,28400,42101028400,20365,7305.702428,B,B14,0.035737565,0.018975057,0.0442548,0.0000928,0.000594758,0.045623505,0.170982664,0.125708642,0.190552478,0.316261121,42101028400
42,101,28500,42101028500,55588,11138.38387,B,B14,0.063236276,0.043327886,0.031469116,0,0,0.059061232,0.033780776,0.153766624,0.077108662,0.230875286,42101028500
42,101,28600,42101028600,29355,9774.034523,B,B14,0.070621992,0.031250879,0.037798334,0.00488829,0.000121127,0.050463194,0.027773865,0.16377181,0.059145872,0.222917682,42101028600
42,101,28700,42101028700,19819,7240.082595,B,B14,0.023624074,0.016748775,0.039515064,0,0,0.050692307,0.034881073,0.113831445,0.051629848,0.165461293,42101028700
42,101,29000,42101029000,34391,10356.95953,B,B14,0.079708994,0.053831794,0.050031465,0.168042372,0.059104184,0.01610689,0.006684566,0.31388972,0.119620544,0.433510264,42101029000
42,101,29300,42101029300,39946,4445.851195,D,D7,0.047707441,0.024868889,0.02374417,0.007549859,0.014238833,0.086712917,0.067652946,0.165714387,0.106760668,0.272475055,42101029300
42,101,29400,42101029400,21024,5884.351116,D,D7,0.054566318,0.029580271,0.012629768,0.001346183,0.001425427,0.064430274,0.050237851,0.132972543,0.08124355,0.214216093,42101029400
42,101,36203,42101036203,70441,3150.567357,,,0.135433584,0.141450558,0.026283664,0.130911356,0.022151565,0.035903305,0.05060116,0.32853191,0.214203282,0.542735192,42101036203
42,101,9801,42101009801,64361,7960.319218,C,C,0.042502296,0.08099066,0.015740657,0.001627837,0.0000777,0.015482304,0.02097074,0.075353094,0.102039116,0.17739221,42101009801
42,101,12201,42101012201,32625,7339.318041,,,0.214312266,0.06895153,0.00945957,0.022575712,0.009007691,0.084391861,0.069230632,0.330739409,0.147189852,0.477929262,42101012201
42,101,7101,42101007101,34303,10700.59268,C,C14,0.060206705,0.014813192,0.030071225,0,0,0.049194429,0.014232428,0.139472359,0.02904562,0.168517979,42101007101
42,101,2801,42101002801,65847,19968.60283,D,D17,0.009314559,0.013570397,0.00592617,0.000766388,0.000367754,0.000746737,0.001257662,0.016753854,0.015195813,0.031949666,42101002801
