ID,FIPSSTCO,TRACT,STFID,TEXTNUM,LOGRECNO,Geography,pop_o16,med_hou_inc_1999,total_pop,OBJECTID,Join_Count,TARGET_FID,GEOID,GEOID_d,GEOID_1,city,houses,med_hou_inc,Shape_Length,Shape_Area,inc_change,GEOID_d_1,city_1,pop_dens,OBJECTID_1,Join_Count_1,TARGET_FID_1,ALAND,pop_2020,Shape_Length_1,Shape_Area_1,pop2020d,OBJECTID_12,Shape_Length_12,Shape_Area_12,area_id,state,city_survey,category,grade,label,residential,commercial,industrial,fill
1800,42101,036203,42101036203,362.03,14044,42101036203.000000000000000,4137,51250,5279,1,4,1,42101035301,42101035301.000000000000000,42101035301.000000000000000,Philly,2006,78574,4877.321507822738567,1412137.068706414662302,27324.000000000000000,42101036203.000000000000000,Philly,3922.866731201768289,1,4,1,1398722.000000000000000,5487,6455.156682347936112,1525601.666844813385978,5487.000000000000000,1,6455.156682347936112,1525601.666844813385978,,,,,,,,,,
1736,42101,034500,42101034500,345,14022,42101034500.000000000000000,7331,31049,8440,2,9,2,42101034701,42101034701.000000000000000,42101034701.000000000000000,Philly,2478,58370,5118.093833733525571,1148302.549832554999739,27321.000000000000000,42101034500.000000000000000,Philly,6369.493314383351390,2,9,2,1148286.000000000000000,7314,5812.537108770368832,1514990.234537376090884,7314.000000000000000,2,5812.537108770368832,1514990.234537376090884,,,,,,,,,,
1728,42101,034200,42101034200,342,14019,42101034200.000000000000000,2692,44196,3237,3,3,3,42101034200,42101034200.000000000000000,42101034200.000000000000000,Philly,1702,56181,7111.933287319798183,1237755.362713432637975,11985.000000000000000,42101034200.000000000000000,Philly,2947.152418999761721,3,3,3,1237805.000000000000000,3648,4899.732321750749179,975173.397840905236080,3648.000000000000000,3,4899.732321750749179,975173.397840905236080,,,,,,,,,,
1726,42101,034100,42101034100,341,14018,42101034100.000000000000000,4625,37236,5627,4,3,4,42101034200,42101034200.000000000000000,42101034200.000000000000000,Philly,1702,56181,7111.933287319798183,1237755.362713432637975,18945.000000000000000,42101034100.000000000000000,Philly,2947.152418999761721,4,3,4,1237805.000000000000000,3648,4700.116038773374385,1356082.831571137998253,3648.000000000000000,5,4700.116038773374385,1356082.831571137998253,5713,PA,1,Still Desirable,B,B8,1,0,0,#7cb5bd
1767,42101,035302,42101035302,353.02,14033,42101035302.000000000000000,3780,42866,4479,5,3,5,42101980300,42101980300.000000000000000,42101980300.000000000000000,Philly,3,,11169.110981893689313,7618457.118346943520010,,42101035302.000000000000000,Philly,0.000000000000000,5,3,5,7596033.000000000000000,0,5864.533757792893084,1508742.287327615544200,0.000000000000000,6,5864.533757792893084,1508742.287327615544200,,,,,,,,,,
1269,42101,025900,42101025900,259,13935,42101025900.000000000000000,4004,38520,5174,6,3,6,42101026100,42101026100.000000000000000,42101026100.000000000000000,Philly,1452,45379,3297.618358632012587,649341.875790783436969,6859.000000000000000,42101025900.000000000000000,Philly,5024.908949512216168,6,3,6,649365.000000000000000,3263,2991.599115633773181,554513.747584949363954,3263.000000000000000,8,2991.599115633773181,554513.747584949363954,5718,PA,1,Still Desirable,B,E2,1,0,0,#7cb5bd
1738,42101,034600,42101034600,346,14023,42101034600.000000000000000,1668,28229,1828,7,4,7,42101034701,42101034701.000000000000000,42101034701.000000000000000,Philly,2478,58370,5118.093833733525571,1148302.549832554999739,30141.000000000000000,42101034600.000000000000000,Philly,6369.493314383351390,7,4,7,1148286.000000000000000,7314,5462.102332220598328,1827206.150176662486047,7314.000000000000000,9,5462.102332220598328,1827206.150176662486047,,,,,,,,,,
1144,42101,022400,42101022400,224,13900,42101022400.000000000000000,249,87500,346,8,3,8,42101980100,42101980100.000000000000000,42101980100.000000000000000,Philly,22,,28469.013112733595335,5584067.959678680635989,,42101022400.000000000000000,Philly,8.422034512748809,8,3,8,5343127.000000000000000,45,4871.975290932302414,636209.229089097236283,45.000000000000000,10,4871.975290932302414,636209.229089097236283,5717,PA,1,Best,A,A4,1,0,0,#76a865
1148,42101,022700,42101022700,227,13903,42101022700.000000000000000,994,65278,1193,9,3,9,42101038500,42101038500.000000000000000,42101038500.000000000000000,Philly,925,98750,6919.741055092548777,1344519.398757859366015,33472.000000000000000,42101022700.000000000000000,Philly,1336.067564929306855,9,3,9,1341998.000000000000000,1793,3217.302313035676434,576325.587882029707544,1793.000000000000000,11,3217.302313035676434,576325.587882029707544,5715,PA,1,Still Desirable,B,B5,1,0,0,#7cb5bd
1141,42101,022200,42101022200,222,13898,42101022200.000000000000000,1277,70000,1619,10,4,10,42101980100,42101980100.000000000000000,42101980100.000000000000000,Philly,22,,28469.013112733595335,5584067.959678680635989,,42101022200.000000000000000,Philly,8.422034512748809,10,4,10,5343127.000000000000000,45,9024.552889161854182,1698982.039460695115849,45.000000000000000,12,9024.552889161854182,1698982.039460695115849,5675,PA,1,Still Desirable,B,E6,1,0,0,#7cb5bd
1271,42101,026000,42101026000,260,13936,42101026000.000000000000000,2391,45764,3050,11,3,11,42101026100,42101026100.000000000000000,42101026100.000000000000000,Philly,1452,45379,3297.618358632012587,649341.875790783436969,-385.000000000000000,42101026000.000000000000000,Philly,5024.908949512216168,11,3,11,649365.000000000000000,3263,2953.832512614516418,542836.300370024866425,3263.000000000000000,13,2953.832512614516418,542836.300370024866425,5719,PA,1,Still Desirable,B,B6,1,0,0,#7cb5bd
1719,42101,034000,42101034000,340,14017,42101034000.000000000000000,2102,43576,2487,12,6,12,42101033702,42101033702.000000000000000,42101033702.000000000000000,Philly,2034,65572,6170.165220322224741,1057762.929996746359393,21996.000000000000000,42101034000.000000000000000,Philly,4120.812893918610825,12,6,12,1057801.000000000000000,4359,3990.055405933688235,762626.689136942382902,4359.000000000000000,14,3990.055405933688235,762626.689136942382902,5713,PA,1,Still Desirable,B,B8,1,0,0,#7cb5bd
1707,42101,033700,42101033700,337,14014,42101033700.000000000000000,7737,35000,9328,13,7,13,42101033702,42101033702.000000000000000,42101033702.000000000000000,Philly,2034,65572,6170.165220322224741,1057762.929996746359393,30572.000000000000000,42101033700.000000000000000,Philly,4120.812893918610825,13,7,13,1057801.000000000000000,4359,8240.062161293499230,1983494.773877537110820,4359.000000000000000,15,8240.062161293499230,1983494.773877537110820,5703,PA,1,Still Desirable,B,E4,1,0,0,#7cb5bd
1263,42101,025800,42101025800,258,13934,42101025800.000000000000000,1423,42407,1684,14,3,14,42101025900,42101025900.000000000000000,42101025900.000000000000000,Philly,2085,47184,2983.294544703996962,549394.822231439524330,4777.000000000000000,42101025800.000000000000000,Philly,8008.488998338239071,14,3,14,549417.000000000000000,4400,3096.147478896253688,591568.377780343987979,4400.000000000000000,16,3096.147478896253688,591568.377780343987979,5718,PA,1,Still Desirable,B,E2,1,0,0,#7cb5bd
1763,42101,035301,42101035301,353.01,14032,42101035301.000000000000000,4244,47303,5495,15,4,15,42101035301,42101035301.000000000000000,42101035301.000000000000000,Philly,2006,78574,4877.321507822738567,1412137.068706414662302,31271.000000000000000,42101035301.000000000000000,Philly,3922.866731201768289,15,4,15,1398722.000000000000000,5487,4864.625792293863924,1419334.637095266021788,5487.000000000000000,17,4864.625792293863924,1419334.637095266021788,,,,,,,,,,
