GEOID,ALAND,AWATER,INTPTLAT,INTPTLON,city,pop,perc_rent,perc_occ,housing_price,rent,rent_1br,under_10_p,over_65_p,median_age,white_p,black_p,native_amr_p,asian_p,hispanic_p,pov_p,no_hs_p,no_college_p,bach_degree_p,graduate_degree_p,med_hou_inc,km,pop_dens,res_tree,res_grass,street_tree,park_tree,park_grass,other_tree,other_grass,Shape_Area,land_area,res_treey,res_grassy,street_treey,park_treey,park_grassy,other_treey,other_grassy,total_treey,total_grassy,totally,median_year_built
24510010100,393198,148387,39.2786343,-76.5745793,Baltimore,3010,0.380025126,0.619974874,380500,2139,1418,0.054152824,0.14717608,34.9,0.872757475,0.065780731,0,0.039202658,0.038870432,0.057692308,0.030947054,0.090231171,0.391498881,0.346383296,128839,0.393198,7655.176273,10570.45555,1705.490505,21673.29227,13865.29483,11329.66384,542.514347,330.4972459,541764.041,393198,0.026883289,0.004337485,0.055120556,0.035262882,0.028814144,0.001379748,0.000840536,0.118646476,0.033992166,0.152638642,1939
24510010200,355165,0,39.2880851,-76.5740101,Baltimore,3042,0.344379467,0.655620533,282200,2096,1679,0.07790927,0.064760026,31.7,0.889875082,0.026627219,0,0.029585799,0.031886917,0.042174629,0.070749334,0.084062381,0.396348421,0.333586915,130357,0.355165,8565.033154,2337.644435,728.8087851,9643.660203,24068.61783,64556.0894,0,0,355281.2921,355165,0.006581855,0.002052029,0.02715262,0.067767426,0.181763657,0,0,0.1015019,0.183815686,0.285317587,1939
24510010300,673883,10498,39.288365,-76.5802265,Baltimore,2341,0.399827288,0.600172712,305000,2264,,0.067492525,0.081161897,31.1,0.868432294,0.007689022,0,0.092695429,0.04015378,0.02605724,0.066966517,0.044977511,0.429285357,0.343328336,151389,0.673883,3473.896804,5384.610789,1175.447752,12873.8031,179580.8231,216297.9758,0,0,684600.5063,673883,0.007990424,0.001744291,0.019103914,0.26648665,0.320972596,0,0,0.293580988,0.322716886,0.616297874,1939
24510010400,373744,558487,39.2781675,-76.5795274,Baltimore,2920,0.518348624,0.481651376,379100,2135,1893,0.127739726,0.098972603,34.5,0.776027397,0.065410959,0,0.054109589,0.107191781,0.040410959,0.082465973,0.074459568,0.345076061,0.409527622,114946,0.373744,7812.834454,5466.455626,2329.070214,13947.91915,4003.381733,4371.293762,6926.41162,4529.527113,932539.857,373744,0.014626203,0.006231726,0.037319446,0.010711561,0.011695957,0.018532503,0.012119331,0.081189713,0.030047014,0.111236727,1949
24510010500,155243,0,39.2888746,-76.5858889,Baltimore,1919,0.482122261,0.517877739,345700,1333,1293,0.105263158,0.084418968,31.9,0.908285565,0.037519541,0.005415162,0.014069828,0.147472642,0.064770932,0.058428475,0.075218267,0.355943586,0.38146407,98194,0.155243,12361.26589,7928.036528,2335.306011,13651.71878,0,0,0,0,155293.0346,155243,0.05106856,0.015042907,0.087937741,0,0,0,0,0.139006302,0.015042907,0.154049209,1939
24510020100,174536,0,39.2887712,-76.5887716,Baltimore,1662,0.497826087,0.502173913,303600,1435,1129,0.067388688,0.054151625,33.7,0.761131167,0.133574007,0.004361371,0.068592058,0.111913357,0.069193742,0.073586367,0.052672347,0.380325329,0.394268009,95536,0.174536,9522.390796,9507.252142,1799.027461,11787.99493,0,0,0,0,174592.0696,174536,0.054471583,0.010307486,0.067539046,0,0,0,0,0.122010629,0.010307486,0.132318115,1939
24510020200,197559,0,39.2886357,-76.5920299,Baltimore,1605,0.632780083,0.367219917,325500,1233,1134,0.08411215,0.065420561,30.8,0.739563863,0.137694704,0,0.079750779,0.110903427,0.141414141,0.039453718,0.113050076,0.464339909,0.267830046,86125,0.197559,8124.155316,8318.553321,1913.610233,14783.51596,0,0,1987.660323,499.643242,197624.1945,197559,0.042106679,0.009686272,0.074830891,0,0,0.010061097,0.002529084,0.126998667,0.012215356,0.139214023,1939
24510020300,662772,384067,39.280861,-76.5940789,Baltimore,3910,0.774150566,0.225849434,395800,1946,1910,0.028132992,0.090792839,32.6,0.769053708,0.093094629,0,0.080306905,0.107161125,0.084654731,0.022278624,0.079244219,0.367738297,0.365764241,101815,0.662772,5899.464673,8856.39082,1708.608403,18880.43465,2779.606554,1245.600469,12352.33456,12823.91672,1047188.559,662772,0.013362651,0.002577973,0.028487073,0.004193911,0.00187938,0.018637381,0.019348911,0.064681016,0.023806265,0.088487281,1991
24510030100,427427,0,39.2894076,-76.5965752,Baltimore,2109,0.843581446,0.156418554,225000,,,0.093409199,0.134186818,35.4,0.178283547,0.795637743,0.011658518,0.004267425,0.062588905,0.434329066,0.274373259,0.32729805,0.179665738,0.031337047,23083,0.427427,4934.175894,17687.05898,16205.27769,13930.7707,3979.218019,10109.78604,4449.241225,1631.440414,427565.6347,427427,0.041380303,0.037913556,0.032592164,0.009309702,0.023652661,0.010409359,0.003816887,0.093691528,0.065383104,0.159074633,1952
24510030200,506034,91912,39.2865363,-76.6022612,Baltimore,2659,0.719457014,0.280542986,370700,1760,1747,0.068446785,0.111320045,37.3,0.610379842,0.264761188,0,0.080481384,0.088755171,0.195315451,0.098578199,0.176303318,0.261611374,0.303317536,98254,0.506034,5254.587636,6881.981566,5305.104376,12044.44208,4580.972439,3905.167929,12081.85687,11986.76096,598146.0725,506034,0.01359984,0.010483692,0.023801646,0.009052697,0.007717205,0.023875583,0.023687659,0.070329766,0.041888555,0.112218322,1989
24510040100,1189600,0,39.2903959,-76.6149601,Baltimore,4869,0.955814923,0.044185077,279700,1488,1411,0.036557815,0.030191004,30.3,0.504415691,0.259601561,0.024978467,0.178065311,0.083384679,0.104949682,0.012564671,0.017984725,0.424735156,0.40995319,62131,1.1896,4092.972428,0,0,13030.4775,11228.33214,8064.444589,18724.53972,16516.28807,1189989.997,1189600,0,0,0.010953663,0.009438746,0.006779123,0.015740198,0.013883901,0.036132607,0.020663023,0.05679563,1969
24510040200,435698,0,39.2903223,-76.6250565,Baltimore,1161,0.993987976,0.006012024,,1152,1255,0.053402239,0.004306632,22.3,0.349698536,0.448751077,0,0.1042205,0.028423773,0.501865672,0.071599045,0.183770883,0.257756563,0.338902148,43333,0.435698,2664.689762,0,5.456322456,15643.27648,2259.696971,1309.517389,24979.82368,19081.5391,435839.5426,435698,0,1.25E-05,0.035903944,0.005186384,0.003005562,0.057332886,0.043795333,0.098423213,0.046813418,0.145236632,1957
24510060100,238719,0,39.2946533,-76.5751514,Baltimore,2925,0.516431925,0.483568075,251100,1382,,0.157264957,0.137094017,32.2,0.336752137,0.466666667,0.026908846,0.033846154,0.207179487,0.290940171,0.122815087,0.282888684,0.275528979,0.172033119,56652,0.238719,12252.89985,3594.937024,817.6688937,11579.8752,10458.99067,11950.90513,74.82956511,24.94318837,238795.6619,238719,0.015059283,0.003425236,0.048508394,0.04381298,0.050062647,0.000313463,0.000104488,0.107694119,0.053592371,0.16128649,1939
24510060200,257735,0,39.2944298,-76.5806137,Baltimore,2973,0.526482213,0.473517787,211500,1479,1298,0.122435251,0.048772284,33,0.41843256,0.480322906,0.033352838,0.033299697,0.103599058,0.329514825,0.143133462,0.237427466,0.252901354,0.174081238,70313,0.257735,11535.10389,3129.590666,1188.698821,11846.45553,1245.600469,424.8136769,0,0,257817.6941,257735,0.012142669,0.004612097,0.045963705,0.004832873,0.001648258,0,0,0.062939246,0.006260355,0.069199601,1939
24510060300,187111,0,39.2942438,-76.5855106,Baltimore,1709,0.546239211,0.453760789,236000,1434,1208,0.146284377,0.078993563,30,0.529549444,0.358104154,0.010666667,0.042715038,0.081919251,0.141018139,0.056619484,0.12489592,0.321398834,0.277268943,84318,0.187111,9133.615875,6379.9999,6220.207599,8959.281472,0,0,343.7483147,452.0952892,187171.1097,187111,0.034097407,0.03324341,0.047882174,0,0,0.001837136,0.002416188,0.083816717,0.035659597,0.119476314,1939
24510060400,430129,0,39.2950986,-76.5909176,Baltimore,1875,0.794845361,0.205154639,223700,1348,1080,0.075733333,0.117866667,30.7,0.3264,0.506133333,0.002335539,0.1152,0.0304,0.232,0.116089613,0.131704005,0.235573659,0.319755601,53472,0.430129,4359.157369,14576.95518,16270.75356,21082.45049,4311.274215,2809.22659,9497.118971,6848.464156,430268.7432,430129,0.033889729,0.037827613,0.04901425,0.010023212,0.006531126,0.022079699,0.015921884,0.115006891,0.060280624,0.175287514,1979
24510070100,290634,0,39.2998323,-76.5754298,Baltimore,2569,0.64993395,0.35006605,94600,1135,,0.21370183,0.113662904,29.3,0.028415726,0.84001557,0.016599732,0,0.076294278,0.324639938,0.217939734,0.468114926,0.062368605,0.014015417,45602,0.290634,8839.296159,2014.162461,931.4721906,6597.473323,10345.18738,54832.92278,2566.030503,1398.377498,290726.4209,290634,0.006930237,0.003204966,0.022700281,0.035595241,0.18866658,0.008829079,0.004811472,0.074054838,0.196683019,0.270737856,1939
24510070200,311145,0,39.2996608,-76.5810142,Baltimore,3735,0.661100196,0.338899804,76400,1131,,0.23373494,0.076840696,28,0.025702811,0.800267738,0,0.002141901,0.102008032,0.484872825,0.376106195,0.425762045,0.032448378,0.006882989,31379,0.311145,12004.04956,8991.239932,9961.685855,9800.334605,0,0,2123.28891,533.940126,311243.3988,311145,0.028897266,0.032016217,0.031497645,0,0,0.006824114,0.001716049,0.067219025,0.033732266,0.100951291,1939
24510070300,228689,0,39.2994991,-76.5859396,Baltimore,1133,0.663043478,0.336956522,75900,900,,0.104148279,0.094439541,34,0.039717564,0.849955869,0.017262639,0,0.083848191,0.221535746,0.144578313,0.506024096,0.042168675,0.108433735,35000,0.228689,4954.326618,8546.939389,9825.277793,6566.294338,0,0,243.1960866,69.37324265,228760.7744,228689,0.037373636,0.042963491,0.028712769,0,0,0.001063436,0.000303352,0.06714984,0.043266843,0.110416683,1939
24510070400,326989,0,39.3002032,-76.592847,Baltimore,1622,0.930693069,0.069306931,160400,1177,1288,0.174475956,0.131319359,29,0.086929716,0.779284834,0,0.123304562,0.036991369,0.359752322,0.148430067,0.368220742,0.208372978,0.156041865,27321,0.326989,4960.411512,17266.92215,27912.98673,8748.043846,597.8570462,2591.753166,2113.15574,1890.225994,327091.7666,326989,0.05280582,0.085363687,0.026753328,0.001828371,0.007926117,0.006462467,0.005780702,0.087849985,0.099070507,0.186920492,1998
