Geography,city,pop_o16,med_hou_inc_1999,total_pop,Shape_Length,Shape_Area,asian,black,hispanic,white,pop,pop_dens_area,rent_t,rent_occ
24510270902,Baltimore,3109,43796,3972,5253.240601,1132859.305,0,0.910876133,0,0.077039275,3972,0.003506172,145,0.102982955
24510270501,Baltimore,3381,44872,4287,6182.246012,2298810.694,0,0.125262421,0,0.835782599,4287,0.001864877,223,0.126131222
24510080101,Baltimore,2770,43477,3841,6969.575118,2316928.085,0,0.579015881,0,0.350429576,3841,0.001657799,176,0.133131619
24510260102,Baltimore,3827,42684,5083,5447.607978,1450109.484,0,0.62541806,0,0.323824513,5083,0.003505253,257,0.139598045
24510271102,Baltimore,1719,101450,2036,6376.910089,1257794.404,0,0,0,0.853634578,2036,0.001618707,74,0.149193548
24510280402,Baltimore,1414,36316,1873,3820.074517,557778.8114,0,0.925253604,0,0,1873,0.003357962,108,0.163636364
24510090200,Baltimore,2655,52500,3242,6401.864756,2027392.673,0,0.772054287,0,0.202961135,3242,0.001599098,199,0.163786008
24510270102,Baltimore,2995,43506,4049,4143.606844,1020994.14,0,0.502099284,0,0.466781921,4049,0.003965743,254,0.166995398
24510271200,Baltimore,4742,84832,5889,8502.27396,3590720.971,0,0.107828154,0,0.853455595,5889,0.001640061,422,0.179269329
24510260301,Baltimore,3281,36707,4505,3235.319002,606804.8487,0,0.781354051,0,0.179800222,4505,0.007424133,295,0.185185185
24510260302,Baltimore,5139,36924,6596,4333.96461,897185.7578,0,0.802001213,0,0.188447544,6596,0.007351878,475,0.189772273
24510270600,Baltimore,3606,46107,4675,5157.746914,1549566.365,0,0.39144385,0,0.582459893,4675,0.003016973,362,0.194833154
24510270703,Baltimore,2188,42895,2625,4213.24197,972978.222,0,0.180571429,0,0.78552381,2625,0.002697902,224,0.195462478
24510270101,Baltimore,1357,45994,1715,4399.376124,956131.3496,0,0.320116618,0,0.640233236,1715,0.001793687,133,0.211446741
24510240400,Baltimore,1985,41458,2368,7560.39604,2165818.665,0,0,0,0.948057432,2368,0.001093351,241,0.224813433
24510270302,Baltimore,1432,39601,1809,3102.949829,517851.6778,0,0.360420122,0,0.610281924,1809,0.003493278,162,0.236151603
24510260900,Baltimore,1846,32717,2258,3024.711675,550634.5102,0,0,0,0.948184234,2258,0.004100724,239,0.236633663
24510160802,Baltimore,2729,32602,3559,6196.030831,1225628.532,0,0.993256533,0,0,3559,0.002903816,270,0.237050044
24510250206,Baltimore,2063,36136,2555,7368.620153,2567997.235,0,0,0,0.940508806,2555,0.000994939,244,0.23828125
24510270402,Baltimore,2611,38250,3326,4651.90584,1200905.886,0,0.239927841,0,0.700541191,3326,0.002769576,323,0.241585639
24510260401,Baltimore,2314,25704,2861,4993.117148,1339496.658,0,0,0,0.91751136,2861,0.002135877,308,0.243478261
24510270801,Baltimore,3076,45238,4169,4065.478527,803230.426,0,0.715999041,0,0.24346366,4169,0.005190291,406,0.245021123
24510010200,Baltimore,2626,31971,3335,2751.876856,355147.8412,0,0.174212894,0.093553223,0.751424288,3335,0.009390456,340,0.247272727
24510240100,Baltimore,1772,38224,2111,9386.428841,4240013.647,0,0,0,0.953102795,2111,0.000497876,236,0.248159832
